CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
630983,AJA,أحمد مصطفى.. مقدمة في خط المقلة,1,1533,100.0
630776,AJD,خطر غصن القنا.. اليمن,1,809,100.0
630727,AJD,رمضان جانا.. مصر,1,799,100.0
630695,AJD,مقهى جروبي القاهرة  - مصر,1,863,100.0
630616,AJA,انتشار ظاهرة التعصب الرياضي,1,2987,100.0
630534,Other,الأرق الوراثي المميت,1,603,100.0
630487,AJD,السيرة الهلالية - الجزء 4,1,810,100.0
630439,AJD,مقهى فرنسا.. مراكش - المغرب,1,839,100.0
630437,AJD,مقهى المرابط.. المدينة العتيقة - تونس,1,824,100.0
630435,AJD,مقهى الشابندر.. بغداد - العراق,1,828,100.0
630434,AJD,مقهى بروطة.. تونس - القيروان,1,803,100.0
630433,AJD,مقهى الحافة.. طنجة - المغرب,1,774,100.0
630431,AJD,مقهى باليما.. الرباط - المغرب,1,843,100.0
630430,AJD,مقهى بدران.. الخليل - فلسطين,1,819,100.0
630429,AJD,مقهى التل.. طرابلس - لبنان,1,817,100.0
630411,AJD,راحلة.. المغرب,1,799,100.0
630391,AJA,عمر أبو ريشة.. شاعر الحب والوطنية,1,1266,100.0
630380,AJA,العبقرية المنسية: قصة إبراهيم السامرائي,1,1396,100.0
630312,AJD,مقهى بعرة وجلابو- القاهرة - مصر,1,807,100.0
630265,AJA,خالد فهمي.. مشروع الحكم السلالي,1,3024,100.0
630090,AJA,فيرنر هرتزوغ.. المخرج عاشق الصحراء,1,2818,100.0
630041,AJD,مقهى فرنسا.. الصويرة - المغرب,1,712,100.0
630021,AJD,مقهى ريش.. القاهرة - مصر,1,979,100.0
630020,AJD,مقهى المغربي.. السلط - الأردن,1,823,100.0
630019,AJD,مقهى الوطن.. الدار البيضاء - المغرب,1,811,100.0
630018,AJD,مقهى سيدي عمارة.. الحلفاوين - تونس,1,806,100.0
630017,AJD,مقهى الزهاوي.. بغداد - العراق,1,828,100.0
630016,AJD,مقهى شقير.. عمّان - الأردن,1,822,100.0
630014,AJD,مقهى سيد درويش الإسكندرية - مصر,2,746,100.0
